,0,1,2,3,4
0,,,,,
1,(성인) 역사문화 연구반-1학기 과정 ,2020-05-18 ~ 2020-07-20,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150161,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150161&site_dvs_cd=gongju&thm=Y,국립공주박물관
2,(성인) 제2기 공주박물관대학 ,2020-04-22 ~ 2020-11-25,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150156,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150156&site_dvs_cd=gongju&thm=Y,국립공주박물관
3,(초5-6학년)제11기 공주어린이박물관학교 ,2020-06-13 ~ 2020-11-28,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150157,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150157&site_dvs_cd=gongju&thm=Y,국립공주박물관
4,(유아) 찾아라!! 무령왕의 보물 ,2020-05-01 ~ 2020-11-30,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150160,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150160&site_dvs_cd=gongju&thm=Y,국립공주박물관
5,문화로의 초대: 무령왕과 함께 떠나는 박물관여행 ,2020-05-01 ~ 2020-12-31,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150027,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150027&site_dvs_cd=gongju&thm=Y,국립공주박물관
6,test 이미지,2020-04-01 ~ 2020-05-12,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150162,https://gongju.museum.go.kr/gongju/img/prog/no-img.jpg,국립공주박물관
7,[교육프로그램 취소] (초등1-2학년) 겨울박물관교실 ,2020-02-12 ~ 2020-02-12,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150153,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150153&site_dvs_cd=gongju&thm=Y,국립공주박물관
8,(초등3-4학년) 겨울박물관교실 ,2020-01-15 ~ 2020-01-15,https://gongju.museum.go.kr/gongju/html/sub3/030101.html?mode=V&mng_no=150144,https://gongju.museum.go.kr/_prog/download/?func_gbn_cd=eduprog&atch=imgfile&mng_no=150144&site_dvs_cd=gongju&thm=Y,국립공주박물관
9,[야간개장] 박물관 숲 이야기 & 달밤투어 취소 안내,2020-06-05,https://gwangju.museum.go.kr/cmm/fms/getImage.do?atchFileId=FILE_000000016231Uk2&fileSn=0&kind=920,https://gwangju.museum.go.kr/prog/event/kor/sub03_03/view.do?cntNo=70,국립광주박물관
