,0,1,2,3,4
0,,,,,
1,국립공주박물관,충남 공주시 관광단지길 34 국립공주박물관,223.0,041-850-6300,https://gongju.museum.go.kr/
2,국립광주박물관,광주 북구 하서로 110,4579.0,062-570-7000,https://gwangju.museum.go.kr/index.jsp
3,국립대구박물관,대구 수성구 청호로 321 국립대구박물관,399.0,053-768-6051,https://daegu.museum.go.kr/
4,국립부여박물관,충남 부여군 부여읍 금성로 5,189.0,041-833-8562,http://buyeo.museum.go.kr/
5,국립전주박물관,전북 전주시 완산구 쑥고개로 249,139.0,063-223-5651,https://jeonju.museum.go.kr/
6,국립제주박물관,제주 제주시 일주동로 17,484.0,064-720-8000,http://jeju.museum.go.kr/
7,국립진주박물관,경남 진주시 남강로 626-35 진주성,136.0,055-742-5951,https://jinju.museum.go.kr/
8,국립청주박물관,충북 청주시 상당구 명암로 143 국립청주박물관,2111.0,043-229-6300,https://cheongju.museum.go.kr/
9,국립춘천박물관,강원 춘천시 우석로 70 국립춘천박물관,2709.0,033-260-1500,https://chuncheon.museum.go.kr/
